"CALENDAR.YEAR","CATEGORY","AGENCY.NAME","X1..PIT.OFFSET.COUNT","X1..PIT.OFFSET.AMOUNT","X2..LOTTERY.OFFSET.COUNT","X2..LOTTERY.OFFSET.AMOUNT","X3..UNCLAIMED.PROPERTY.OFFSET.COUNT","X3..UNCLAIMED.PROPERTY.OFFSET.AMOUNT","Total.OFFSET.COUNT","Total.OFFSET.AMOUNT","AGENCY_CLEAN","Year","PIT_Count","PIT_Amount","Lottery_Count","Lottery_Amount","UCP_Count","UCP_Amount","Total_Count","Total_Amount","Lottery_UCP_Amount","Lottery_UCP_Count"
"CY2018","2 - CITY","CITY OF MANTECA 1","1","$695.71","","","","","1","$695.71","CITY OF MANTECA",2018,1,695.71,0,0,0,0,1,695.71,0,0
"CY2018","2 - CITY","CITY OF SAN RAFAEL 340","340","$71,013.65","1","$250.00","10","$1,020.62","351","$72,284.27","CITY OF SAN RAFAEL",2018,340,71013.65,1,250,10,1020.62,351,72284.27,1270.62,11
"CY2018","2 - CITY","CITY OF CERRITOS 8","8","$1,817.27","","","","","8","$1,817.27","CITY OF CERRITOS",2018,8,1817.27,0,0,0,0,8,1817.27,0,0
"CY2018","2 - CITY","CITY OF LAKE FOREST 4","4","$1,951.00","","","","","4","$1,951.00","CITY OF LAKE FOREST",2018,4,1951,0,0,0,0,4,1951,0,0
"CY2018","2 - CITY","CITY OF COACHELLA PARK RANGER DIV 89","89","$10,542.73","","","","","89","$10,542.73","CITY OF COACHELLA PARK RANGER DIV",2018,89,10542.73,0,0,0,0,89,10542.73,0,0
"CY2018","2 - CITY","CITY OF CONCORD 18","18","$10,210.21","","","","","18","$10,210.21","CITY OF CONCORD",2018,18,10210.21,0,0,0,0,18,10210.21,0,0
"CY2018","2 - CITY","CITY OF CORCORAN 3","3","$328.00","","","","","3","$328.00","CITY OF CORCORAN",2018,3,328,0,0,0,0,3,328,0,0
"CY2018","2 - CITY","CITY OF CORONA 288","288","$37,778.75","2","$145.00","8","$531.02","298","$38,454.77","CITY OF CORONA",2018,288,37778.75,2,145,8,531.02,298,38454.77,676.02,10
"CY2018","2 - CITY","HOUSING AUTH.CITY OF SACRAMENTO 22","22","$5,591.49","","","","","22","$5,591.49","HOUSING AUTH.CITY OF SACRAMENTO",2018,22,5591.49,0,0,0,0,22,5591.49,0,0
"CY2018","2 - CITY","CITY OF CUDAHY 18","18","$2,098.22","","","3","$219.10","21","$2,317.32","CITY OF CUDAHY",2018,18,2098.22,0,0,3,219.1,21,2317.32,219.1,3
"CY2018","2 - CITY","CITY OF DALY CITY 1,279 $240,966.32","1,279","$240,966.32","5","$487.26","30","$3,066.58","1,314","$244,520.16","CITY OF DALY CITY",2018,1279,240966.32,5,487.26,30,3066.58,1314,244520.16,3553.84,35
"CY2018","2 - CITY","CITY OF PALMDALE 473","473","$83,378.47","3","$1,279.00","14","$869.66","490","$85,527.13","CITY OF PALMDALE",2018,473,83378.47,3,1279,14,869.66,490,85527.13,2148.66,17
"CY2018","2 - CITY","CITY OF DUARTE 90","90","$21,908.70","1","$146.00","4","$176.15","95","$22,230.85","CITY OF DUARTE",2018,90,21908.7,1,146,4,176.15,95,22230.85,322.15,5
