CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2018,2 - CITY,CITY OF GARDEN GROVE,18,"$5,457.46",,,,,18,"$5,457.46"
CY2018,2 - CITY,GLENDALE WATER & POWER,6,$959.75,1,"$1,000.00",1,$1.00,8,"$1,960.75"
CY2018,2 - CITY,CITY OF VERNON,5,$485.52,,,1,$12.00,6,$497.52
CY2018,2 - CITY,CITY OF HAWAIIAN GARDENS,79,"$9,534.39",,,1,$53.09,80,"$9,587.48"
CY2018,2 - CITY,CITY OF HAYWARD,276,"$48,924.95",3,$368.02,14,$732.34,293,"$50,025.31"
CY2018,2 - CITY,CITY OF HEMET,29,"$9,597.16",,,6,$233.87,35,"$9,831.03"
CY2018,2 - CITY,CITY OF HUNTINGTON BEACH,"1,012","$117,922.64",10,"$1,906.00",29,"$2,124.04","1,051","$121,952.68"
CY2018,2 - CITY,CITY OF LA HABRA HEIGHTS,3,$790.00,,,,,3,$790.00
CY2018,2 - CITY,CITY OF ADELANTO,99,"$24,305.38",,,4,$284.19,103,"$24,589.57"
CY2018,2 - CITY,CITY OF CUPERTINO,21,"$5,277.15",1,$86.00,1,$106.00,23,"$5,469.15"
CY2018,2 - CITY,OXNARD HOUSING AUTHORITY,15,"$6,597.45",,,,,15,"$6,597.45"
CY2018,2 - CITY,CITY OF SAN GABRIEL,175,"$25,246.56",2,$579.00,4,$465.06,181,"$26,290.62"
CY2018,2 - CITY,CITY OF RIVERSIDE,244,"$78,900.15",1,$220.00,6,$689.84,251,"$79,809.99"
CY2018,2 - CITY,CITY OF LA MIRADA,124,"$18,838.64",1,$69.00,3,$218.27,128,"$19,125.91"
CY2018,2 - CITY,CITY OF LANCASTER,654,"$82,771.33",2,$204.00,9,$463.07,665,"$83,438.40"
CY2018,2 - CITY,CITY OF GARDENA,537,"$69,736.82",3,$466.00,12,$522.72,552,"$70,725.54"
CY2018,2 - CITY,CITY OF,50,"$9,912.24",,,,,50,"$9,912.24"
CY2018,2 - CITY,CITY OF LAWNDALE,476,"$71,995.59",2,$217.35,14,"$1,293.44",492,"$73,506.38"
CY2018,2 - CITY,CITY OF LA VERNE,178,"$26,030.08",2,$213.00,,,180,"$26,243.08"
CY2018,2 - CITY,CITY OF MALIBU,178,"$21,125.38",6,$852.80,,,184,"$21,978.18"
CY2018,2 - CITY,MANHATTAN BEACH ADMIN,400,"$36,922.04",1,$168.00,15,"$2,080.64",416,"$39,170.68"
CY2018,2 - CITY,CITY OF MERCED,143,"$29,454.89",2,$997.14,1,$66.00,146,"$30,518.03"
CY2018,2 - CITY,CITY OF MISSION VIEJO,9,"$3,876.00",5,$250.00,,,14,"$4,126.00"
